id,from_user,from_user_id,from_user_name,twitter_tweet_id,language_code,profile_image_url,source,text,latitude,longitude,created_at
118,pinkpatria,865223268,Karol ,2.63E+17,en,http://a0.twimg.com/profile_images/2726391857/8f7d212f4c53b1dbf03d4af2204dd2f9_normal.jpeg,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,@bajapantiix77 Okay perame ante k sandy me agarre !,40.738489,-73.855438,"Sun, 28 Oct 2012 19:42:03 +0000"
119,liang3,11386212,liang,2.63E+17,en,http://a0.twimg.com/profile_images/2342014065/ei15a14z80hsd7xz3p20_normal.jpeg,&lt;a href=&quot;http://instagr.am&quot;&gt;Instagram&lt;/a&gt;,Awaiting Sandy @ Sheikh Zayed Tower http://t.co/GVobZB7v,,,"Sun, 28 Oct 2012 19:42:02 +0000"
122,gbjmort,31328682,Gerald Jansen,2.63E+17,en,http://a0.twimg.com/profile_images/2729887322/e39e513106f11de1addf02810290f959_normal.jpeg,&lt;a href=&quot;http://foursquare.com&quot;&gt;foursquare&lt;/a&gt;,Stocking up for #sandy (@ Tops Friendly Markets) http://t.co/qQJ16cAJ,43.141497,-78.694532,"Sun, 28 Oct 2012 19:41:53 +0000"
124,pattyreinoso78,27362157,Patricia Reinoso,2.63E+17,es,http://a0.twimg.com/profile_images/2487270643/image_normal.jpg,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,Manana no hay clases en NYC por #Sandy,40.742369,-73.852887,"Sun, 28 Oct 2012 19:41:50 +0000"
